text,label
  allah nahi usko bachana tha to us road sy hi kyun nechai phank tha ,negative
  apnay bhai ki madad karo qatil ,positive
  bohot ghandi choice hai teri qatil ,negative
  kis kis ko pakistan buhat pasand hai                       love form india           ,positive
  ibrahim ki mama qatil ki bohot achi acting dekai hykass sab bary log apnay molazmo ky saath achy ho jye ,positive
  hafeez ki  wkts or shandar century ki badolat pakistan ny  ka hadaf  wickets per hasil ker lia qatil ,positive
  khair mubarakapp ko b eid mubarak ,positive
  froze khan ny to har jaga dhoom macha di jeo bhai jeo kya darama bnya geooooooo ,neutral
  inaya or qadsiya same didkhti hai pahile muze laga oh sister ,neutral
  tumhen kaha bhi tha iss baar eid karni hai qatil ,negative
  ghurbat mei koe sharam nahi lekin besharmi pahile usne ki dusriapne ,negative
  bohot acha episode tha  yai larki lava me jal rahe the  ,neutral
  mam apki nose me kachra hai ,neutral
  main daraz se chezain mangwati rahiti hun or hamaisha mera acha experience hota hai kyunky market se sasti or achi chez apki ghar pe ajate hai khair yai anklet bhot khobsorat thay or quality waise bhi achay thay laken is main se ek nug gaib tha laken woh notice main nahi araha to khair hai :) ,positive
  yai movie kis kis ky pasnad hai qatil dosto qatil like thoko or ek request sabi se plz meri channel ky subscribe karti hai muje bhi apni life me agae bharane moka do apka ek subscribe muje apni manjil tak lekar jayegi i wish muje support karenge plz plz plz plz plz plz dosto ,neutral
  dekhon to ek shaks b mera nahi bana qatil ,negative
  anmool kahzana kaha sy milay ga plz ,positive
  kaminooooo baghairatooooo ek bhagooorayyyy or mafroooor ko promote kartay hai siwaey galiooooo ky iske photo ky nechy kuch nahiii ab bhi #pti qatil ka mou bandh kra saktay ho hum #awaam ka or social #media qatil  ka nahiiii jahillllooooo lakh di lanatttttt qatil  doob maro pakistan ky naaaloooo main reh ky ,negative
  asa telent kashmir main booot paya jata han ,positive
  ya fatima efandi ka double role hai ,neutral
  beshak hum sab ke nabi payari aaka qatil mohammad saw sachhe hai   allah huakbar allah huakbar allah huakbar   ,neutral
  bilal kise bi angle s hero nahi lagta or bohot s dosre actors hen jo zyda suit karti hen ,negative
  yai shayar log itni baar repeat kyun karti hain ek sentence ko shayad unko yaad nahi aata hoga next line ya phir yaad karti hongi next sentence qatil ,neutral
  dil bail gaya bhai i love this song   ,positive
  asey gandi galian dy ky islam represent kar rahey ho  ,negative
  nice song acha lagta hai aye song love from india  ,positive
  bakya cities main raat  baja tak mokamal service bahal ho jaya ge qatil ,positive
  boobs to mast han ray ,positive
"   main computer game tomb raider par bane wale film ""lara corft tomb raider"" main lara corft ka kirdar ada karni ke bad un ki maqboliyat main hairat angez qatil izafa huwa or unhay action heroin ke tor par jana jani laga ",positive
  north karachi zareena colony me firing  shaks janbahaq qatil ,negative
  sir ny apni indore ke liye kaha tha ki main mumbai me rahkar aya hun main waha tha lekin main ab bhi indori hi hi rewa mp ,neutral
  golimar me pani or bijli ki adam farhami ky khilaf awam ka ehtijaj road block qatil ,negative
  kuttay is dramy keliye itny paisay ora deay tum nyitny paisay mjy dety meny business kar laina tha ,negative
  belu wale chahya ,neutral
  haramkhoro awam ko rooti chiyeaa jao unhay mil nahi rahe is tayaraa ko bajwa or asim muneer ki gand main dalo jab india se jang to karni nahi tum logo ny udhar tum logo ki phat jate  saal se apna logo ko qatal kar rhy haramkhor ,negative
  hahahaha yai khud dosri shadi karna chahty hain qatil ,negative
  ek wo imran qatil ek yai imran qatil dono qatil begherton ky qatil srdar qatil hen qatil chor ka saathi chor qatil hi ho ga khwaja ka gwah daddu qatil wala mamla qatil dono qatil azab mulk pe qatil knjrr                                     ,negative
  khudaapk saath ho    ,positive
  wah wah kya kahinay ,positive
  imran khan is the best and the great leader zindabad imran khan is the gud person ,positive
  dub ke marh jao sab politician  sab means sb all parties ,positive
  han far suna ,neutral
  jab depp  baras ke hue to in ke waldain ke mabein alhadigi ho gai ,negative
  lanat tumare interview py lhr ky badmasho py case karo us py ku kar rhy hun ajeeb insaan jis py case karna banta hai us py kar ky dikhao or interview du phir dekhy gy ky tumari awaz nikalte b hai ya jahil gawar apnay bachu ki tarbiat karo tum to interview me galiya dy rhy hun lanti insaan ,negative
  intne acche gane ko bhi k unlike kon hai yai bhosdiwaale   kaha se aate hai   ,neutral
  badlaa brother lanat hai teri pae ,negative
  sanam teri kasam movie ke bad roya tha iske bad yai pora drama daikh kar roya hun salute to pakistan love from india            ,neutral
  rula diya is song ny to    so emotional song ,negative
  sdkay jaon            ,positive
  nah baba muhnjo mike tore chadndia tun hi mayi ta po bhaji wai tan haroun baru matho pharndia muhnjo ,negative
  bakwas karta rhy is beghairat ko bulaty kyun ho tum log ,negative
  izzat sab ki hai lakin yai baat sach hai ky yai awam ko paisay dee qatil bolaty hai qatil abhi recently hun ri city may be jalsa huwa awam ko paisay dee convince lay ky gy hai ,negative
  qatil  ke aaiyn ki tayyari main mashriqi oh maghrabi pakistan main masawat ka asool manwany main hussain shaheed suhrawardy ny nihayat aeham kirdar ada kya ,positive
  bachon ko lag raha tha ky kya design banaya hai ,negative
  hindustani art cinemas ke qad aawar artists ki top of the list murattab ki jae to farooq sheikh ka naam yaqeeni tour par is mien shamil ho ga ,positive
  ata sahab    ,neutral
  is ky kitnay plots hain     ,neutral
  first car bomb blast new yorks wall strreet me hua tha qatil ,negative
  meri ami to batati hain alhamdhulilah ,positive
  bakwas wo garmi sy marr raha ta urr in ko lag raha ta wo ro raha hain ,negative
  allah pak raham farma aafia siddiqi par aor unkay gharwalon par   ameen    ,positive
  besharam aorat ,negative
  qatil gandi ji se in ke bohat ache or be takallufana talluqaat the or wo inhe azrah taffanun mickey mouse pukara karti thin ,positive
  masha allah handsome ,positive
  masha allah bhut acha song he    ,positive
  huh nikal apni taraf se xd ,negative
